,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2024,ALABAMA,"RUNNER, RAINBOW",,,,Confidential,Commercial,Elagatis bipinnulata,168738,GULFFIN
2024,ALABAMA,"SCAD, BIGEYE",,,,Confidential,Commercial,Selar crumenophthalmus,168677,GULFFIN
2024,ALABAMA,SCAMP,,,,Confidential,Commercial,Mycteroperca phenax,167763,GULFFIN
2024,ALABAMA,"SEATROUT, SAND","11,963",5,"15,612",Public,Commercial,Cynoscion arenarius,169243,GULFFIN
2024,ALABAMA,"SEATROUT, SPOTTED",,,,Confidential,Commercial,Cynoscion nebulosus,169239,GULFFIN
2024,ALABAMA,"SHARK, BLACKTIP","98,423",45,"88,335",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2024,ALABAMA,"SHARK, BLUE",,,,Confidential,Commercial,Prionace glauca,160424,EXCEPTIONS
2024,ALABAMA,"SHARK, BULL",,,,Confidential,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2024,ALABAMA,"SHARK, FINETOOTH",,,,Confidential,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2024,ALABAMA,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2024,ALABAMA,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2024,ALABAMA,"SHARK, NURSE",,,,Confidential,Commercial,Ginglymostoma cirratum,159977,EXCEPTIONS
2024,ALABAMA,"SHARK, SANDBAR",,,,Confidential,Commercial,Carcharhinus plumbeus,160289,EXCEPTIONS
2024,ALABAMA,"SHARK, SHARPNOSE, ATLANTIC","90,570",41,"74,372",Public,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2024,ALABAMA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2024,ALABAMA,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2024,ALABAMA,SHEEPSHEAD,"61,271",28,"73,924",Public,Commercial,Archosargus probatocephalus,169189,GULFFIN
2024,ALABAMA,"SHRIMP, BROWN","5,461,651","2,477","9,479,814",Public,Commercial,Penaeus aztecus,95605,GULFFIN
2024,ALABAMA,"SHRIMP, NORTHERN PINK","3,039,834","1,379","4,303,251",Public,Commercial,Penaeus duorarum,95608,GULFFIN
